Player Name,Link,Analysis,Strengths,Weaknesses,College,Pick,Position,Team,Year
DeeJay Dallas,https://www.nfl.com/prospects/deejay-dallas/32004441-4c41-5290-528d-2115c573d8ed,"Dallas was a high school quarterback who came into Miami as a receiver and converted to running back during the 2017 season. The production is modest and the instincts are a work in progress, but there are flashes of run-lane feel and downhill smoothness that could be a sign of future development. He has size, speed and a surprising amount of pop as a finisher. His contact balance makes him hard to bring down through contact, but he needs to improve his open-field wiggle. He lacks third-down readiness, but his special teams talent should make up for that. The traits and toughness make him an intriguing upside prospect on Day 3.","Played WR and RB at Miami. Added bad weight in 2018, but slimmed down in 2019. Instincts and feel for rush track improved during season. Does a nice job of running tacklers into blocks. Plus burst with decent getaway juice at his disposal. Willing accelerator through contact for heavy forward finish. Slippery to tackle and hard to get down. Choppy feet and contact balance to keep runs going. Potential to become a four-phase special-teamer with return talent.",Still learning to hone his instincts as a runner. Inconsistent processing and resolving sudden traffic. More one speed than patient in his approach. Below average setting up open-field tacklers on the levels to miss. Still figuring out efficiency of footwork for downhill cuts. Doesn't always know where he needs to be in protection. Take-on technique will need work. Needs better tuck-away ball security.,MIAMI,134,RB,Seattle Seahawks,2021
La'Mical Perine,https://www.nfl.com/prospects/la-mical-perine/32005045-5209-4283-5343-0dc17857704e,"Backup-caliber running back who fails to dazzle in any particular area, but who does enough of what's asked of him and has the character traits to become a dependable pro. He's most skilled in the early stages of the run, where his sticky feet and quick eyes help him find his initial rush tracks, but his lack of burst and second-level creativity make him more of a grinder than a playmaker. He has the play traits to compete for a backup role in a one-cut scheme, and his special teams experience improves his chances.","Prototypical size of today's NFL running back. High-character, hard worker on and off the field. Gets behind the wheel and patiently steers lead blockers into their targets. Plays with decisive eyes and sticky feet for sharp gather and cut. Foot twitch to bound back and forth around early penetration. Understands the physical nature of his job. Low center of gravity allows for additional balance to defeat arm tackles. Intuitive near goal line with ability to spot routes to pay dirt. Experience as core special-teams player in 2018. Rarely drops it as pass-catcher and has potential to get better as blocker.","Tends to run with monotonous tempo, allowing linebackers to find him. Lacks desired burst to accelerate both inside and outside. Early shake tends to dissipate once he hits second level. Drops head and plows forward prematurely rather than re-setting rush path at times. Takes on excessive amount of contact for his carry total. Still training eyes to recognize protection duties. Needs more technique work before he can be trusted to protect his quarterback.",FLORIDA,110,RB,New York Jets,2021
Anthony McFarland,https://www.nfl.com/prospects/anthony-mcfarland/32004d43-4650-9831-455d-4f5daa13de76,"McFarland runs hard, but he's not that big and he's not that creative, so he could struggle to find yardage for himself. A high-ankle sprain may have been at the root of his unimpressive 2019 tape, as he showed a little better burst and tackle-breaking ability in 2018, but in both seasons he needed either clear points of entry or to be operating in open space to get it going. His projection can't just rely on a couple of splash performances from 2018. He appears to have low-end backup potential, but it's worth noting that some NFL teams are much higher on him.","Better 2018 tape due to high-ankle sprain in 2019. Has build-up speed to run away from tacklers. Had runs of 75, 81, and 52 yards against Ohio State in 2018. Accelerates into contact behind pads. Agility to sidestep foot traffic. Able to stack cuts on top of cuts. Decisive runner between the tackles. Adjusts to off-target throws out of backfield. Capable ball tracker on wheel routes. ",Runs on tiptoes on stretch plays. Slow to gather in cut. Lacks desired feel for run lane development. Needs plenty of space to operate. Unable to slow feet and then reignite quickly. Doesn't have bend to unleash lower-body power. Runs hard but has below-average drive through contact. Not enough sand in his pants to trust protection skills. ,MARYLAND,114,RB,Pittsburgh Steelers,2021
Ke'Shawn Vaughn,https://www.nfl.com/prospects/ke-shawn-vaughn/32005641-5545-8202-856a-988711b103bf,"Comes into the league with NFL size and toughness, but his success could be tied to scheme and blocking up front due to physical limitations. Vaughn is a tight-hipped runner who has issues with stop-start quickness and is unable to stack moves on top of moves. He's not hard to find, but can be hard to tackle. He's best suited to compete as a backup in a one-cut rushing attack from under center where he can build momentum and create yards after contact. His 2018 tape was better than his 2019 season and he appears headed for a middle-round selection.","Prototypical size of an early-down running back. Muscular, well-built legs and arms. Scored a touchdown once every 16.5 touches at Vanderbilt. Former high school sprinter with finishing speed in open field. Adequate lateral agility in tight quarters. Consistent production despite suspect blocking up front. Runs with patience as outside zone back. Breaks through arm tackles regularly. Keeps runs alive with leg drive and determination. Plays up to his size and strength as pass blocker. ","Vision and ability to create for himself are average. Very tight hips with very tight strides. Can race to the edge, but struggles to flatten around the corner. Takes time to accelerate after slowing feet. Not much ability to avoid contact. More of a ""one move and finish"" type runner. Lacks NFL-level burst to shoot past traffic. Very few carries of 20-plus yards this year. ",VANDERBILT,76,RB,Tampa Bay Buccaneers,2021
Raymond Calais,https://www.nfl.com/prospects/raymond-calais/32004341-4c04-8278-3ab4-d7a50c7dc4ce,"Change-of-pace back with very good burst but below average size that could limit his NFL suitors. Calais is fairly talented (and courageous) as an inside/outside zone runner, but as a pro, he will likely be considered a gadget back who makes his living in open space. His play speed is what gives him a chance, but he needs to run with better patience to improve his control and elusiveness in the open field. He's not much of a third-down option, but his history as a punt-team gunner works in his favor.","Impressive burst to race past second level. Able to take away downhill angles for support safeties. Plenty of juice to threaten perimeter on stretch plays. Change of pace slasher. Subtly alters his rush track to his advantage during the run. Fleet feet constantly on the move. Able to make quality open field cuts. Ball security has been good, with one fumble over the past two years. Showed ability to handle gunner duties in 2018. Nice agility for lateral cut and go. Slippery to tackle.",Offers no pass protection help. Hasn't been used for any meaningful pass-catching duties. Unafraid of interior running but is not built for it. Durability could be a concern. Always hurrying and could cut with better patience. Rarely gathers and reassess his run options as an improvisational creator. Not as elusive as expected. Doesn't slow his pace and set up tacklers to miss with wiggle.,LOUISIANA-LAFAYETTE,223,RB,Tampa Bay Buccaneers,2021
Joshua Kelley,https://www.nfl.com/prospects/joshua-kelley/32004b45-4c27-2420-b6d2-7125878e440b,"Physical, downhill runner best-suited for gap-scheme rushing attack. On most carries, it feels like Kelley is playing a game of chicken against defenders when he ducks his head and hits the accelerator into contact. He's going to create some yardage after contact and break tackles here and there, but he tends to become a tackle magnet who is not able to make tacklers miss. He's a tough runner with short-yardage ability and maybe even third-down value. Kelly's strong showing at the Senior Bowl and the NFL Scouting Combine have bolstered his stock and put him squarely on the map as a coveted Day 3 pick.",Size and strength runner. Accelerates downhill and runs aggressively behind pads as TD-maker. Absorbs contact and falls forward to finish his runs. Does not back down from handling the hard work. Didn't get enough blocking help but created for himself with power. Strong lower body to dismiss upper body tackles. Runs with square pads. Quick hands to stab and secure high throws. Size and spirit to become decent protection option. ,Running style takes a toll on him. Doesn't try to make many people miss. Drops head and rams forward rather than surveying for more moves and yards. Tight hips hinder ability to transition from cut to cut. Forward lean works against him from a balance standpoint. Slow to gather and cut downhill. Below-average start-stop and lateral change of direction. Crowds blockers and lacks feel for the contours of the run lane. Below-average vision to reroute the run. ,UCLA,102,RB,Los Angeles Chargers,2021
Jason Huntley,https://www.nfl.com/prospects/jason-huntley/32004855-4e82-0991-c24d-2b6b3dad0477,"Lightweight scat-back who offers good versatility as a pass-catcher, change-of-pace runner and quality kick returner. While he has some wiggle and elusiveness, he takes an alarming amount of punishing blows and gets tossed around like a sack of laundry as an inside runner. He will need to pair with a team that utilizes his vision and tempo primarily on stretch plays. His play speed is just average, which hurts him when he becomes too predictable with his choice or rush paths. Huntley runs good routes and could be considered for usage in gadget packages that also take advantage of his ability to work from the slot.","Can splash around as a ball-carrier, pass catcher and kick returner. Averaged 7.1 yards per rush in 2019. Quick to process blocking development on stretch plays. Vision and change of direction for fluid run-lane choices. Able to alter run tempo for better elusiveness. His open-field spin move can shake and leave tacklers. Has five career kick returns for touchdowns. Legitimate pass-catching threat from the backfield or the slot. Gets out of breaks with some burst as a route runner. ",Angular build with narrow base not suited for inside running. Lacks leg drive to break tackles. Has a tendency to bounce too many runs wide. Better burst quickness than outright speed. Gets caught on dashes to the perimeter. Takes jarring punishment from tacklers. Put the ball on the ground twice right at the goal line. Carries the ball too loosely when approaching interior traffic.,NEW MEXICO STATE,155,RB,Detroit Lions,2021
Breece Hall,https://www.nfl.com/prospects/breece-hall/32004841-4c18-9796-85f0-25933f010ae8,"Will give NFL evaluators early starter vibes with his blend of size, power and creativity. Hall isn't very sudden in tight quarters but gets better as the run play progresses with good vision and an above-average sense for how to beat second-level tacklers. He has surprising build-up speed once he's in the open field but might not have the instant gas to become a plus outside runner. His running style is willful when it needs to be and he's adept at moving the chains on ""got to have it"" short-yardage carries. Hall has full-package, three-down talent with surprisingly soft hands out of the backfield and should find early touches as a Day 2 draft pick with above-average potential.
","
Has the size of a high-volume back.
Touchdown monster from all ranges.
Finished career with five touchdown runs of 75 or more yards.
Gets around the field with good bend and balance.
Recognizes lane development before it happens.
Changes foot cadence for unpredictable burst point.
Sets up second-level tacklers to fail.
Patient behind lead blockers, steering them into defenders.
Makes rhythmic cuts with no loss of speed to beat open-field tacklers.
Powerful base absorbs contact and stays on his feet.
Drops pads and hammers through tacklers while falling forward.
Set of skills to become an above-average third-down option.

","
Handled heavier workload with 800 touches over three years.
Runs like he's pacing himself.
Not very shifty to elude early traffic in the backfield.
Slight hesitation in his initial read at times.
Jukes himself out of balance.
Average quickness and burst to outpace linebackers laterally.
Will need to play faster and more decisively against NFL speed.

",IOWA STATE,36,RB,New York Jets,2022
Kenneth Walker III,https://www.nfl.com/prospects/kenneth-walker-iii/32005741-4c39-1813-7d3e-48047712136d,"Walker is a compact back with a very powerful, sturdy base. He can find his own yards with twitchy directional change when run-blocking breaks down and possesses plus-rated contact balance to add on to his yardage throughout the game. Walker is a very determined runner who is more reactive than instinctive, which leads to wild shifts in his rush track. He can handle RB1 workload in terms of carries but needs work as a third-down option. Walker would benefit from better rush-track discipline, but his explosiveness and unpredictable style should still lead to success as a future starter.
","
Compact and powerful with the build to handle a full workload.
Scans and picks up run lanes in any direction.
Feet are fast and agile in tight quarters.
Instant one-cut talent with no gather steps needed.
Impressive body control and change-of-direction balance.
Able to create something out of nothing.
Burst to turn the corner on bounce-out runs when spilled.
Instinctive to square pads against tackles on an angle.
Transitions into accelerated, powerful finish.
Drops pads and batters tacklers in space.
Yards after contact will continue as a pro.
Only one fumble on 276 touches in 2021.
Stop-start experience in Wake Forest run game has helped him.

","
Herky-jerky running style lacks fluidity.
Not a naturally trusting, decisive runner.
Quick to get away from play design without a clear point of entry.
Prematurely searches for cutback opportunities on backside.
Needs to run with more discipline to the track.
Allows leakage in pass pro due to failure to square the blitz.

",MICHIGAN STATE,41,RB,Seattle Seahawks,2022
Zamir White,https://www.nfl.com/prospects/zamir-white/32005748-4960-3663-61e2-3aa5c09bf289,"White is a naturally powerful runner with a lower half that is hard to knock off-balance no matter how clean the shot. He's not very dynamic as a runner but is a two-way creator with lateral jump-cuts to avoid tackles and the power to run through them. He's a wide-base runner who should excel in gap and inside zone schemes but his running style might not lend itself to a long career. He has two ACL tears in his background and is unlikely to play on passing downs, but he's a formidable ""thunder"" back waiting to be paired with a ""lightning"" cohort and will give running games a chance to test the resolve of defenses for four full quarters.
","
Weight-room warrior with five-star physique.
Permanent team captain in 2021.
Loves to play the game with elevated physicality.
Creates with power and elusiveness.
Processes movement and cuts back accordingly.
Absorbs contact like it's nothing.
Lateral cuts come easily for being a power back.
Can obliterate lesser tacklers or the uncommitted.
Vision to find a pathway to open field once he hits second level.
Drags tacklers with him to fall forward.

","
Tore right ACL in 2017 and left ACL in 2018.
Running style lacks fluidity and rhythm.
Not very creative once he's in space.
Takes time to find acceleration after making a cut.
Very little third-down production during career.
His pass protection leaves a lot to be desired.

",GEORGIA,113,RB,Las Vegas Raiders,2022
Isaiah Spiller,https://www.nfl.com/prospects/isaiah-spiller/32005350-4935-8127-e160-a345616324a2,"Volume-carry running back with good size and talent for starting consideration as a pro. He was slowed, at times, by inconsistent run blocking but was still productive and consistent for much of the 2021 season. He has interior vision and loose hips, allowing him to locate and get to run lanes regardless of traffic. Spiller runs with good elusiveness but stays in that mode a little too long, which can affect his ability to finish with authority. He's a solid back but not overly dynamic and lacks the desired third-down value right now.
","
Tape from 2020 shows off talent, with better blocking up front.
Runs with oily hips and good pad level through the carry.
Adequate foot quickness helps to slip backfield leakage.
Effective reading and processing for interior lane choice.
Balance allows for cuts in downhill slalom.
Able to recalibrate his run in the face of sudden roadblocks.
Toggles between patient and urgent when needed.
Lateral acceleration to successfully bounce runs wide.
Uninhibited to make sharp, back-side cuts.
Elusive on the second and third levels.
Very good scan-and-slide to meet incoming blitz.

","
Running style lacks tempo and rhythm at times.
Less decisive and trusting as inside runner in 2021.
Needs to press the line deeper on zone runs.
Average vision when run is spilled wide.
Some inefficiencies getting into his cuts.
Needs to lock into finishing mode sooner to add contact yardage.
Loose with football and targeted for forced fumbles.
Needs better protection technique and hands to be a third-down option.

",TEXAS A&M,114,RB,Los Angeles Chargers,2022
Brian Robinson,https://www.nfl.com/prospects/brian-robinson/3200524f-4273-6177-6c0d-d79eb9d007d1,"Robinson is an absolute physical unit with good feet and power to add yards after contact, but his running style is predictable and somewhat indecisive between the tackles. Building and maintaining momentum doesn't always come easily. He's more fight than flight, but delays in processing and a lack of second-level creativity turn him into more of a road-grader than he needs to be. He is a linear runner who is likely to be utilized as a complementary bulldozer to help wear down defenses, but Robinson might have more potential from sideline to sideline than he receives credit for.
","
Built like a linebacker with a broad, tapered chest.
Able to take on a heavy workload.
Plays the role of battering ram once he's downhill.
Some elusiveness against early penetration.
Adequate looseness to transition from cut to cut.
Fast feet for a big back.
Has build-up speed as an outside runner.
Discontented runner through first contact.
Breaks tackles and grinds down the front with power.
Freight train potential against flank defenders on swing passes.

","
Running style is begging for durability concerns.
Upright runner with a large strike zone to attack.
Loses pad-level conflict at impact.
Primarily a one-speed runner.
Doesn't press the line deeply enough.
Slight hitch in his feet before bursting limits one-cut effectiveness.
Inconsistent processing causes indecisiveness as an inside runner.
Lacks ability to downshift and re-calibrate his pathway.
Hands are likely to disappoint as a pass-catcher.

",ALABAMA,98,RB,Washington Commanders,2022
Dameon Pierce,https://www.nfl.com/prospects/dameon-pierce/32005049-4524-5478-115c-8ae11dbeefa6,"It's a fun afternoon of tape study watching Pierce play the game like a coiled spring ready to explode on each snap. He's an urgent runner with twitchy downfield burst, tackle-breaking leg drive and outstanding balance through contact. He reads and reacts to block development quickly and creates additional yardage with both power and subtle shiftiness. Pierce was highly productive (16 total touchdowns) in 2021 despite an embarrassingly low usage rate by the coaching staff. He has plenty of tread left on the tires and fits into any run-blocking scheme as a quality future starter or member of a RB tandem.
","
Grown-man physique.
Unique weight-room power feeds into springy hips/feet.
Averaged a touchdown every seven touches in 2021.
Makes defenses feel his energy and urgency.
No hesitation charging through the line of scrimmage.
Violent runner who is hard to knock off his feet.
Saves the run with top-flight contact balance.
Rare talent to create yardage in a phone booth.
Processes fronts quickly, making wise lane choices.
Able to create suddenly without slowing his feet.
Displayed talent to work the seam over cover linebackers.

","
Just nine career games with 10 or more carries.
Herky-jerky runner lacking desired tempo and timing.
Average escape speed out of the side door.
Much more natural off-tackle than between the tackles.
A little tight with change-of-direction transitions.
Needs an extra step to make his downhill cut.
Hand usage in pass pro needs work.

",FLORIDA,98,RB,Houston Texans,2022
Tyrion Davis-Price,https://www.nfl.com/prospects/tyrion-davis-price/32004441-5682-2552-baf3-6579c14749f1,"Big, athletic back offering an enticing blend of size and explosiveness to go with an SEC pedigree. Davis-Price's early season tape was listless and lacking pro quality, but that changed over the second half of the year. He's an enigmatic back featuring urgency, indecisiveness, physicality and finesse on any given carry. He got much better as the season progressed and clearly finds a rhythm when given volume carries. Scouts say that staying motivated will be a major factor in future success. Davis-Price's athletic ability and hammerhead finishes will help him create yardage. He has the size and upside worthy of consideration in the middle rounds.
","
Premium combination of size and athletic talent.
Accelerates and cuts like a smaller back.
Gets better with volume.
Runs with excellent bend.
Talented operating behind a lead blocker.
Attacked the line of scrimmage against Alabama.
Quick to process and secure a back-side cut.
Battering ram in open space.
Drops and collides with tacklers, dragging them for extra yardage.

","
Needs better patience to allow smoke to clear up front.
Below-average feel for blocking scheme and run lane.
Slams into a lineman's back on a regular basis.
More stutter-and-go than one-cut runner.
Ball security might be an ongoing issue.
Hands are a coin flip as a pass-catcher.

",LSU,93,RB,San Francisco 49ers,2022
Kevin Harris,https://www.nfl.com/prospects/kevin-harris/32004841-5245-7260-8be0-ef52c1ce6dea,"Big, bruising runner with good vision and the self-awareness to understand that power running is what will butter his bread. His 2021 productivity fell off from 2020, due in part to health issues, shared carries and average South Carolina run blocking. He creates for himself with contact and tackle-breaking talent, but typically drops and finishes against an open-field tackler rather than avoiding him. He's a chain mover with excellent ball security as a battering ram inside. He will be limited as an outside runner and needs to come off the field on passing downs. Harris has talent and his impressive 2020 was no mirage. He's a good Day 3 option for teams looking to upgrade their power.
","
Grown man with thickly muscled arms and legs.
Runs with good high-knee action for a big runner.
Knows he's a big back and finishes like it.
Build-up speed for longer runs once he hits the open field.
Good job finding relevant rush tracks.
Capable of reading and cutting off blocks effectively.
Balance to absorb contact and keep it moving.
Just a single fumble over 358 carries at South Carolina.
Consistently shrugs off tackle attempts above the waist.

","
Had offseason back surgery after 2020.
Lacks early creativity when needed.
Will get walked down by linebackers on outside runs.
Not much open-field shake to elude on second level.
Change of direction saps momentum of the run.
Takes on heavier contact than is necessary.
Catches the football like it's made of lava.

",SOUTH CAROLINA,164,RB,New England Patriots,2022
James Cook,https://www.nfl.com/prospects/james-cook/3200434f-4f15-1970-d2e5-e575c819187c,"Change-of-pace runner with vision and flow but a lack of functional play strength. The younger brother of Vikings running back Dalvin Cook, James has his brother's one-cut talent and ability to stack cuts seamlessly through the second level. However, he is missing his big brother's build, contact balance and toughness between the tackles, which will surely cap expectations and asks from an NFL club. His slashing style fits with outside zone and toss plays. He can also be used as a mismatch option as a pass-catcher. Cook has big-play ability but is unlikely to see his carry count get very high.
","
Instinctive processing comes naturally.
Smooth reads and cuts through the line and up to second level.
Runs with rapid feet and forward lean.
Can make drastic path alterations with hard cuts.
Patient behind his lead blocks.
Long speed to take it to the house.
Used out of the backfield as a pass-catching mismatch on linebackers.
Steady hands with ability to run a route.

","
Slender through lower half.
Passive run finisher with disappointing contact balance.
Collapsed by moderate contact as inside runner.
Does not offer value near the end zone.
Will struggle against NFL blitzing linebackers in protection.

",GEORGIA,63,RB,Buffalo Bills,2022
Tyler Badie,https://www.nfl.com/prospects/tyler-badie/32004241-4468-5229-8c1d-59265ee103fc,"Undersized, change-of-pace back with a big heart and pass-catching talent. Despite a lack of desired size, Badie took on a monster workload and produced at a high level. He played in a run scheme heavily tilted to outside zone and is at his best in space, although he's natural and confident in tight run lanes. He's a tough runner but lacks short-yardage leg drive, so his role as a pro could be fairly well-defined as a talented third-down back who can handle an occasional spike in carries if needed.
","
Adequate decisiveness to process the front and hit it.
Maintains optimal spacing from defenders as inside runner.
Relaxed runner to shoot through tight creases.
Low center of gravity with plus contact balance.
Open-field burst catches pursuit off-guard.
Just two fumbles lost on 513 carries.
Experience to run expanded route tree to exploit matchups.
Catches with natural hands inside/outside the frame.
Difficult to bring him down quickly after the catch.

","
Runs in segments rather than one, continuous flow.
Below-average ""one-cut"" talent for outside zone.
Fails to recognize back-side cutback opportunities.
More reactive than proactive setting up tacklers.
Not built for tough, short-yardage carries.
Lacks size and strength to drive through arm tackles.
Could struggle to stand in and deliver in blitz protection.

",MISSOURI,178,RB,Baltimore Ravens,2022
Pierre Strong,https://www.nfl.com/prospects/pierre-strong/32005354-5265-8099-4e5a-fedfdfa80694,"Instinctive running back with NFL traits and talent to find a home as a committee back or an eventual RB1. Hyper-focused vision provides him a variety of cut options and rush paths but also causes him to overthink his approach at times. Strong is more reactive than manipulative but is quite impressive with his spatial awareness and ability to slalom around bodies on a smooth, linear pathway without slowing his roll. He struggles when forced to slow his feet and make early cuts. He needs a north/south run scheme where he can square his pads and find his rhythm quickly. Strong lacks third-down value at this time, but has shown enough to believe it could be in his future.
","
Big-play threat with 10 career rushing TDs of 50-plus yards.
Bends and bursts through line of scrimmage.
Finds the center of the rush lane and avoids first-level defenders.
Internal GPS finds and offers multiple routes during the trip.
Can see and make steep back-side cuts to find open field.
Rhythmic runner able to slalom around bodies when hitting it downhill.
Stays a step ahead of open-field tacklers with subtle shifts and cuts.
Runs with consistent forward lean and finishes with dropped pads.
Adequate leg drive to play through uncommitted leg tackles.
Created easy separation on rare occasions he ran route out of the backfield.
Needs technique work but will lay into blitzing linebackers.

","
Leggy build not ideal for tight-area elusiveness.
Unable to access quick gas after lateral jump-cuts.
Below average anticipating blocks in creating point of entry.
Will overthink his reads, leading to occasional indecisiveness.
Can improve at setting up his blocks.
Pop into contact as run finisher is average.
Stiff hands as receiver out of backfield.

",SOUTH DAKOTA STATE,118,RB,New England Patriots,2022
Kyren Williams,https://www.nfl.com/prospects/kyren-williams/32005749-4c41-5359-809b-caeaa1db84d0,"Fiery team leader and combative runner who leaves it all out on the field. Williams has been a worker bee with a willingness to do the heavy lifting on all three downs and has premium third-down talent both in blitz pickup and as a route-runner out of the backfield. The Patriots' usage of James White, Dion Lewis and Brandon Bolden might be the blueprint for how to utilize Williams in the NFL.
","
Team captain.
Ready and willing to carry any workload asked.
Loose with wide, lateral slides to elude penetration.
Finds ways to wiggle out of trouble in tight quarters.
Runs with consistent pace.
Talented, well-rounded third-down option.
Experienced lining up and running routes from the slot.
Shifty to separate on option routes.
Rare understanding of protection schemes.
Scans for trouble and steps into the ring with grit and technique.

","
More quick than explosive.
Below-average burst as an outside runner.
More active than creative up to second level.
Unable to find sudden acceleration from his cuts.
Plenty tough but bounced around like a smaller back.
Lacks power to break tackles and move chains consistently.
Too many fumbles.
Average elusiveness in space after the catch.

",NOTRE DAME,149,RB,Los Angeles Rams,2022
Rachaad White,https://www.nfl.com/prospects/rachaad-white/32005748-4939-3110-903e-6b6c868dd3ab,"Running back with size and senior year production, but the tape is more average than exciting. White is a tight-hipped runner lacking desired lateral agility and burst after changing direction. He has a tendency to be slowed or stopped by first-level tacklers but is a more natural runner once he gets up to the second level. He fails to show enough creativity to escape the ""gets what is blocked"" tag, but he does run with adequate vision. His lack of breakaway speed and limited special teams background won't help his chances, so he needs to shine early in camp to give himself an opportunity to make a team as a RB3.
","
Impressive production as full-time RB1.
Three-down workload of carries and catches.
Desired size and build of an early down running back.
Patient runner reading his block development.
Easy transition from reactive to aggressive when finishing runs.
Can stack cuts when maneuvering around linebackers.
Locates the tight crease and squeezes in near the paint.
Scored at least one touchdown in 9 of 11 games in 2021.

","
Works in ""slow-and-go"" mode when changing directions.
Too tight-hipped for abrupt lateral/diagonal cuts.
Play speed needs a boost.
Too quick to quit on play-side run track on stretch plays.
Allows disappointing success rate on first tackle attempt.
Below-average contact balance to careen and continue.
Too inconsistent to be trusted with protection duties.

",ARIZONA STATE,91,RB,Tampa Bay Buccaneers,2022
Tyler Allgeier,https://www.nfl.com/prospects/tyler-allgeier/3200414c-4c70-2582-4cca-1a2070c9a090,"Well-built, highly productive zone-scheme runner with impressive vision and feel for the job. Allgeier is smooth and instinctive with one-cut talent. He effectively navigates the ebbs and flows of run lane development. He's more agile than twitchy and relies on his ability to quickly process. While he sees it clearly, his pace and burst can be a little hit-or-miss and might allow for NFL defenses to prevent the chunk play. Allgeier is clearly talented as a runner but will need to prove his explosiveness. He offers very little third-down value right now and could be tabbed as a solid backup in a move-based rush attack.
","
Well-built, reliable and productive.
Put it in the paint at an impressive rate.
Had four games with 190-plus rushing yards in 2021.
Vision to maximize the blocking scheme.
Excellent feel for inside/outside zone.
Smooth getting through his reads.
Innate feel for space and run-lane development.
Maintains distance from tacklers in space.
Has the ability to dart into quick, stacked cuts.
Absorbs contact with adequate balance.

","
Runs with average burst through the line.
Doesn't run with power to drive through interior contact.
Fluid but not all that twitched-up.
Average speed to the edge on outside runs.
Fumbles creeped into his game in 2021.
Pass protection will need to improve if he's going to keep defenders off QB.
Hands are not very natural as a pass-catcher.

",BYU,136,RB,Atlanta Falcons,2022
Ty Chandler,https://www.nfl.com/prospects/ty-chandler/32004348-4133-6645-66e1-215e9c59ff5f,"His impressive 2021 should pump some life into Chandler's draft stock. After sharing carries at Tennessee, Chandler took a bigger bite out of the pie at North Carolina, seeing spikes in yardage, yards per carry and touchdown production. He's a smooth strider who can become a little disjointed when processing and attacking the blocking scheme. Chandler needs to turn up the play speed in the early stages to attack the fleeting run lanes he will see in the pros. In a deep running back draft, Chandler's ability to catch passes and return kicks should help improve his chance of being selected on Day 3.
","
Posted breakout season in single year at North Carolina.
Follows blocks and uses them as shields.
Patient allowing blockers to do their thing.
Stays low and coiled to absorb and manage run contact.
Build-up speed once he's in the open field.
Pass-catching threat with soft, sure hands.
Attacks linebackers down the seam.
Catches through heavy collisions.
Background as a kick returner.

","
Takes time to process the lane and hit the gas.
Leggy strides slow quickness out of downhill cuts.
Needs to get pads squared earlier in the run.
Lacks suddenness getting in and out of cuts.
Average run finisher.
Play pace needs to quicken through the line.
Average elusiveness in space.

",NORTH CAROLINA,154,RB,Minnesota Vikings,2022
Snoop Conner,https://www.nfl.com/prospects/snoop-conner/3200434f-4e47-4976-67fa-3e11b58a8850,"Rocked up runner with aggressive disposition and relatively low mileage on his tires. Conner is a scheme-versatile runner, which could help him as he transitions to the next level. He's more than willing to choose violence on every snap but rarely allows that mindset to prevent him from seeking out less-trafficked pathways with his vision. He will run himself into some tackles because of his red-hot tempo, but ironically, he's a patient and highly effective short-yardage back. Conner's disappointing showing at the NFL Scouting Combine is hard to ignore, though, and could hurt his standing with evaluators. Conner has three-down talent and projects as a good committee back with the frame to carry a workload if needed.
","
Game-ready physique with thick, muscular frame.
Runs with desired combination of bend and balance.
Has ability to play in gap or zone running schemes.
Decisive and crisp as a one-cut runner.
Plays with a blend of vision and violence near the end zone.
Able to maneuver through run creases effectively.
Body control and foot agility create sudden cuts.
Meets force with force when finishing his runs.
No lack of toughness in protecting his quarterback.
Squares up and proactively strikes the blitzer.

","
Can be a step slow when forced to decipher block development.
Runs like his gas pedal is stuck.
Gets on top of defenders too quickly to make moves.
Not very dynamic or creative in space.
Needs to learn to run linebackers into blocks.
May not be able to turn the corner versus NFL linebackers.
Limited experience as a third-down option.

",MISSISSIPPI,139,RB,Jacksonville Jaguars,2022
Jerome Ford,https://www.nfl.com/prospects/jerome-ford/3200464f-5223-4027-cb9f-9f2ae803ccd5,"Well-built back with NFL size and athletic ability but the vision and creativity are just OK. Ford lacks the desired instincts and recognition of run-lane development, but he's fast, strong and athletic. He has the tools to find yards with those traits. He's a talented, explosive option out of the backfield with soft hands and the speed to mismatch linebackers out in space. The pieces aren't all in place, but Ford could have a future as a change-of-pace slasher with third-down value.
","
Not much tread off the tires with just 319 career carries.
Possesses NFL size and athletic traits.
Quick feet with explosive lateral agility.
Uses stutter-and-go to beat defenders to the corner.
Keeps pads squared to the action.
Strength to break tackles and shimmy to elude them.
Soft hands with speed to create explosive plays out of the backfield.
Makes catches well outside his frame.
Linebackers will struggle to keep up with him in routes.

","
Average comfort level on limited outside-zone carries dating back to 2019.
Looks like a better athlete than running back at this point.
Possesses creative traits but not creative eyes.
Will run right up the back of the blocker on gap plays.
Inconsistent finding creases between the tackles.
Has had ball security issues.
Inconsistent reading the front in protection.

",CINCINNATI,141,RB,Cleveland Browns,2022
